Date,Open,High,Low,Close,Volume
2024-01-15,185.12,187.45,184.50,187.45,65432100
2024-01-16,187.50,188.20,186.10,186.75,58234567
2024-01-17,186.80,189.30,186.20,188.95,72345678
2024-01-18,189.00,190.15,187.80,189.50,68234567
2024-01-19,189.60,191.20,188.90,190.85,75234567
2024-01-22,190.90,192.50,189.70,191.45,82345678
2024-01-23,191.50,193.20,190.80,192.60,78234567
2024-01-24,192.70,194.50,191.90,193.85,85234567
2024-01-25,193.90,195.20,192.50,194.20,88234567
2024-01-26,194.30,196.10,193.40,195.50,92345678
2024-02-14,254.50,256.80,253.20,255.78,95234567
