Date,Open,High,Low,Close,Volume
2024-01-15,518.10,521.18,515.50,521.18,95432100
2024-01-16,521.50,525.20,519.10,523.75,88234567
2024-01-17,523.80,528.30,522.20,526.95,102345678
2024-01-18,527.00,530.15,525.80,529.50,98234567
2024-01-19,529.60,533.20,528.90,532.85,105234567
2024-01-22,532.90,536.50,531.70,535.45,112345678
2024-01-23,535.50,539.20,534.80,538.60,108234567
2024-01-24,538.70,542.50,537.90,541.85,115234567
2024-01-25,541.90,545.20,540.50,544.20,118234567
2024-01-26,544.30,548.10,543.40,547.50,122345678
2024-02-14,519.50,523.80,517.20,521.90,125234567
