Date,Open,High,Low,Close,Volume
2024-01-15,242.10,245.32,240.50,245.32,125432100
2024-01-16,245.50,248.20,244.10,246.75,118234567
2024-01-17,246.80,249.30,245.20,248.95,132345678
2024-01-18,249.00,251.15,247.80,250.50,128234567
2024-01-19,250.60,253.20,249.90,252.85,135234567
2024-01-22,252.90,255.50,251.70,254.45,142345678
2024-01-23,254.50,257.20,253.80,256.60,138234567
2024-01-24,256.70,259.50,255.90,258.85,145234567
2024-01-25,258.90,261.20,257.50,260.20,148234567
2024-01-26,260.30,263.10,259.40,262.50,152345678
2024-02-14,243.50,247.80,242.20,245.10,155234567
